month,frame,family,n_test,brier,brier_base,skill,base
2018-09,5m,bounce,5916,0.18742,0.20076,0.0665,0.2953
2018-09,5m,through,5916,0.2061,0.24158,0.1469,0.2796
2018-09,15m,bounce,5916,0.16106,0.17004,0.0528,0.2198
2018-09,15m,through,5916,0.22466,0.25271,0.111,0.4748
2018-09,1h,bounce,5916,0.10473,0.11248,0.0689,0.1257
2018-09,1h,through,5916,0.18903,0.20403,0.0735,0.7012
2018-09,4h,bounce,5916,0.06572,0.06841,0.0393,0.0748
2018-09,4h,through,5916,0.10562,0.11861,0.1096,0.8314
2018-09,1d,bounce,5916,0.03166,0.02706,-0.1699,0.0439
2018-09,1d,through,5916,0.05738,0.05533,-0.0371,0.9105
2018-10,5m,bounce,3040,0.19252,0.20746,0.072,0.2929
2018-10,5m,through,3040,0.15586,0.19511,0.2011,0.2913
2018-10,15m,bounce,3040,0.17669,0.19175,0.0786,0.2195
2018-10,15m,through,3040,0.2221,0.24754,0.1028,0.4834
2018-10,1h,bounce,3040,0.13642,0.13496,-0.0108,0.1261
2018-10,1h,through,3040,0.24418,0.24352,-0.0027,0.703
2018-10,4h,bounce,3040,0.10351,0.09148,-0.1315,0.0747
2018-10,4h,through,3040,0.20341,0.18003,-0.1299,0.8356
2018-10,1d,bounce,3040,0.06841,0.05751,-0.1895,0.0418
2018-10,1d,through,3040,0.12595,0.10249,-0.2289,0.9146
2018-11,5m,bounce,9628,0.16542,0.17714,0.0661,0.293
2018-11,5m,through,9628,0.22577,0.27127,0.1677,0.2896
2018-11,15m,bounce,9628,0.12695,0.13986,0.0923,0.2218
2018-11,15m,through,9628,0.22287,0.25409,0.1229,0.4793
2018-11,1h,bounce,9628,0.08557,0.08579,0.0026,0.1282
2018-11,1h,through,9628,0.18364,0.18166,-0.0109,0.6976
2018-11,4h,bounce,9628,0.07403,0.06981,-0.0604,0.0763
2018-11,4h,through,9628,0.14407,0.13761,-0.0469,0.8316
2018-11,1d,bounce,9628,0.08395,0.07998,-0.0497,0.043
2018-11,1d,through,9628,0.14436,0.13151,-0.0977,0.9128
2018-12,5m,bounce,5304,0.20356,0.21447,0.0509,0.2811
2018-12,5m,through,5304,0.21132,0.22213,0.0487,0.3152
2018-12,15m,bounce,5304,0.15273,0.16332,0.0648,0.2121
2018-12,15m,through,5304,0.23518,0.25013,0.0598,0.4972
2018-12,1h,bounce,5304,0.11422,0.12077,0.0543,0.1224
2018-12,1h,through,5304,0.19777,0.2051,0.0357,0.7098
2018-12,4h,bounce,5304,0.05603,0.05423,-0.0333,0.0762
2018-12,4h,through,5304,0.12235,0.11246,-0.088,0.8322
2018-12,1d,bounce,5304,0.02228,0.02015,-0.1059,0.05
2018-12,1d,through,5304,0.06165,0.05368,-0.1485,0.9024
2019-01,5m,bounce,2585,0.19946,0.21823,0.086,0.2834
2019-01,5m,through,2585,0.17033,0.20028,0.1495,0.3166
2019-01,15m,bounce,2585,0.16981,0.19874,0.1456,0.2116
2019-01,15m,through,2585,0.21643,0.24992,0.134,0.4992
2019-01,1h,bounce,2585,0.13671,0.14426,0.0523,0.1239
2019-01,1h,through,2585,0.22921,0.25242,0.092,0.71
2019-01,4h,bounce,2585,0.08268,0.08653,0.0445,0.0746
2019-01,4h,through,2585,0.18676,0.19165,0.0255,0.8356
2019-01,1d,bounce,2585,0.01726,0.01556,-0.1097,0.0475
2019-01,1d,through,2585,0.06565,0.06224,-0.0549,0.906
2019-02,5m,bounce,4426,0.19245,0.20724,0.0713,0.2848
2019-02,5m,through,4426,0.22364,0.22839,0.0208,0.3149
2019-02,15m,bounce,4426,0.16545,0.17258,0.0413,0.2137
2019-02,15m,through,4426,0.24062,0.25013,0.038,0.4973
2019-02,1h,bounce,4426,0.10802,0.10815,0.0012,0.1257
2019-02,1h,through,4426,0.19892,0.19797,-0.0048,0.7057
2019-02,4h,bounce,4426,0.07092,0.06823,-0.0394,0.0754
2019-02,4h,through,4426,0.13581,0.12797,-0.0612,0.8325
2019-02,1d,bounce,4426,0.03602,0.03453,-0.043,0.0462
2019-02,1d,through,4426,0.06544,0.06437,-0.0165,0.9071
2019-03,5m,bounce,3509,0.2066,0.222,0.0694,0.2853
2019-03,5m,through,3509,0.15929,0.17644,0.0972,0.3171
2019-03,15m,bounce,3509,0.17745,0.18695,0.0508,0.2142
2019-03,15m,through,3509,0.22338,0.24974,0.1056,0.4989
2019-03,1h,bounce,3509,0.11006,0.10818,-0.0175,0.1256
2019-03,1h,through,3509,0.21923,0.22449,0.0234,0.7072
2019-03,4h,bounce,3509,0.07561,0.07054,-0.0719,0.0753
2019-03,4h,through,3509,0.15858,0.15489,-0.0238,0.8336
2019-03,1d,bounce,3509,0.06361,0.06476,0.0178,0.0455
2019-03,1d,through,3509,0.11124,0.11874,0.0631,0.9086
2019-04,5m,bounce,8441,0.15325,0.17255,0.1119,0.2873
2019-04,5m,through,8441,0.20511,0.2826,0.2742,0.3119
2019-04,15m,bounce,8441,0.11978,0.13511,0.1135,0.2157
