month,frame,family,n_test,n_train,brier,brier_base,skill,base
2018-09,5m,bounce,5916,39969,0.19618,0.20076,0.0228,0.2953
2018-09,5m,through,5916,39969,0.24897,0.24158,-0.0306,0.2796
2018-10,5m,bounce,3040,45885,0.20248,0.20746,0.024,0.2929
2018-10,5m,through,3040,45885,0.1829,0.19511,0.0626,0.2913
2018-11,5m,bounce,9628,48925,0.1822,0.17714,-0.0286,0.293
2018-11,5m,through,9628,48925,0.35946,0.27127,-0.3251,0.2896
2018-12,5m,bounce,5304,58553,0.21712,0.21447,-0.0123,0.2811
2018-12,5m,through,5304,58553,0.27,0.22213,-0.2155,0.3152
2019-01,5m,bounce,2585,63857,0.20685,0.21823,0.0522,0.2834
2019-01,5m,through,2585,63857,0.18303,0.20028,0.0861,0.3166
2019-02,5m,bounce,4426,66442,0.19922,0.20724,0.0387,0.2848
2019-02,5m,through,4426,66442,0.26042,0.22839,-0.1403,0.3149
2019-03,5m,bounce,3509,70868,0.21108,0.222,0.0492,0.2853
2019-03,5m,through,3509,70868,0.19338,0.17644,-0.096,0.3171
2019-04,5m,bounce,8441,74377,0.15622,0.17255,0.0946,0.2873
2019-04,5m,through,8441,74377,0.23308,0.2826,0.1752,0.3119
2019-05,5m,bounce,9327,82818,0.16485,0.17917,0.0799,0.2796
2019-05,5m,through,9327,82818,0.24124,0.27539,0.124,0.3303
2019-06,5m,bounce,6525,92145,0.19713,0.19562,-0.0077,0.2745
2019-06,5m,through,6525,92145,0.2397,0.23317,-0.028,0.3465
2019-07,5m,bounce,3137,98670,0.2175,0.22291,0.0243,0.274
2019-07,5m,through,3137,98670,0.12573,0.16779,0.2506,0.3479
2019-08,5m,bounce,3251,101807,0.21283,0.23099,0.0786,0.2756
2019-08,5m,through,3251,101807,0.15403,0.17546,0.1222,0.3419
2019-09,5m,bounce,4459,105058,0.21004,0.2183,0.0378,0.2778
2019-09,5m,through,4459,105058,0.21603,0.22499,0.0398,0.3371
2019-10,5m,bounce,4666,109517,0.19015,0.20269,0.0618,0.2794
2019-10,5m,through,4666,109517,0.2212,0.22535,0.0184,0.3373
2019-11,5m,bounce,3734,114183,0.20572,0.21299,0.0341,0.2795
2019-11,5m,through,3734,114183,0.18896,0.19886,0.0498,0.3375
2019-12,5m,bounce,4121,117917,0.21115,0.2224,0.0506,0.2803
2019-12,5m,through,4121,117917,0.18052,0.1968,0.0827,0.3351
2020-01,5m,bounce,6232,122038,0.1914,0.20448,0.064,0.2819
2020-01,5m,through,6232,122038,0.20067,0.21833,0.0809,0.3324
2020-02,5m,bounce,5532,128270,0.19851,0.20807,0.0459,0.2821
2020-02,5m,through,5532,128270,0.21088,0.21353,0.0124,0.3319
2020-03,5m,bounce,5197,133802,0.16671,0.18403,0.0941,0.2827
2020-03,5m,through,5197,133802,0.21068,0.24583,0.143,0.3309
2020-04,5m,bounce,3681,138999,0.20419,0.2133,0.0427,0.2811
2020-04,5m,through,3681,138999,0.17096,0.20007,0.1455,0.3336
2020-05,5m,bounce,4656,142680,0.20817,0.22395,0.0705,0.2817
2020-05,5m,through,4656,142680,0.16877,0.18518,0.0886,0.3319
2020-06,5m,bounce,3080,147336,0.23706,0.24673,0.0392,0.2833
2020-06,5m,through,3080,147336,0.1766,0.18151,0.027,0.3284
2020-07,5m,bounce,5964,150416,0.18699,0.19537,0.0429,0.2853
2020-07,5m,through,5964,150416,0.21026,0.2533,0.1699,0.3261
2020-08,5m,bounce,3390,156380,0.19748,0.20731,0.0474,0.2846
2020-08,5m,through,3390,156380,0.18835,0.21209,0.1119,0.3298
2020-09,5m,bounce,5517,159770,0.209,0.21974,0.0489,0.2848
2020-09,5m,through,5517,159770,0.18397,0.20422,0.0992,0.3292
2020-10,5m,bounce,5626,165287,0.22667,0.22269,-0.0179,0.286
2020-10,5m,through,5626,165287,0.17459,0.17664,0.0116,0.3276
2020-11,5m,bounce,9596,170913,0.24149,0.1951,-0.2378,0.2874
2020-11,5m,through,9596,170913,0.31719,0.24787,-0.2796,0.3234
2020-12,5m,bounce,6103,180509,0.20087,0.20943,0.0408,0.2862
2020-12,5m,through,6103,180509,0.21293,0.214,0.005,0.3278
2021-01,5m,bounce,10975,186612,0.17214,0.18166,0.0524,0.2866
2021-01,5m,through,10975,186612,0.26964,0.26945,-0.0007,0.3272
2021-02,5m,bounce,8783,197587,0.20597,0.20707,0.0053,0.2836
2021-02,5m,through,8783,197587,0.22332,0.22569,0.0105,0.3351
2021-03,5m,bounce,4799,206370,0.20496,0.21442,0.0441,0.284
2021-03,5m,through,4799,206370,0.1776,0.20093,0.1161,0.3355
2021-04,5m,bounce,10400,211169,0.17598,0.18609,0.0543,0.2846
2021-04,5m,through,10400,211169,0.22605,0.25144,0.101,0.334
2021-05,5m,bounce,9251,221569,0.18753,0.19784,0.0521,0.2827
2021-05,5m,through,9251,221569,0.22221,0.22831,0.0267,0.3381
2021-06,5m,bounce,4146,230820,0.237,0.23723,0.001,0.2822
2021-06,5m,through,4146,230820,0.14886,0.17446,0.1467,0.3386
2021-07,5m,bounce,5233,234966,0.21948,0.22309,0.0162,0.2836
2021-07,5m,through,5233,234966,0.16827,0.18797,0.1048,0.3359
2021-08,5m,bounce,8443,240199,0.183,0.19835,0.0774,0.2847
2021-08,5m,through,8443,240199,0.19107,0.23526,0.1878,0.3336
2021-09,5m,bounce,6981,248642,0.19305,0.20337,0.0507,0.2842
2021-09,5m,through,6981,248642,0.18953,0.22076,0.1415,0.3349
2021-10,5m,bounce,5446,255623,0.21325,0.22223,0.0404,0.2842
2021-10,5m,through,5446,255623,0.18091,0.18998,0.0477,0.3348
2021-11,5m,bounce,6083,261069,0.20864,0.2204,0.0533,0.2851
2021-11,5m,through,6083,261069,0.17472,0.1883,0.0722,0.3327
2021-12,5m,bounce,4996,267152,0.21605,0.22203,0.027,0.286
2021-12,5m,through,4996,267152,0.14479,0.16565,0.126,0.3304
2022-01,5m,bounce,5701,272148,0.21193,0.22025,0.0378,0.2868
2022-01,5m,through,5701,272148,0.20517,0.21049,0.0253,0.3274
2022-02,5m,bounce,5164,277849,0.27159,0.22832,-0.1895,0.2875
2022-02,5m,through,5164,277849,0.2224,0.19159,-0.1608,0.3268
2022-03,5m,bounce,3871,283013,0.22226,0.21753,-0.0218,0.2885
2022-03,5m,through,3871,283013,0.17508,0.17217,-0.0169,0.3253
2022-04,5m,bounce,4498,286884,0.23833,0.24087,0.0105,0.2889
2022-04,5m,through,4498,286884,0.1459,0.16602,0.1212,0.3235
2022-05,5m,bounce,5520,291382,0.2018,0.19565,-0.0314,0.2902
2022-05,5m,through,5520,291382,0.30044,0.22775,-0.3192,0.3212
2022-06,5m,bounce,4380,296902,0.2342,0.22374,-0.0468,0.2898
2022-06,5m,through,4380,296902,0.19319,0.18417,-0.049,0.3217
2022-07,5m,bounce,5571,301282,0.22986,0.23189,0.0088,0.2904
2022-07,5m,through,5571,301282,0.18995,0.18169,-0.0455,0.3203
2022-08,5m,bounce,4154,306853,0.22936,0.24659,0.0699,0.2915
2022-08,5m,through,4154,306853,0.11725,0.14618,0.1979,0.3185
2022-09,5m,bounce,6689,311007,0.22639,0.22977,0.0147,0.2928
