family,depth,f1,v1,f2,v2,rate,base,n
bounce,2,station|etype,edge|TRAV,q_rng100_5m,"(0.094, 0.598]",0.902,0.302,604
bounce,2,station|etype,edge|TRAV,q_zt100_15m,"(38.0, 100.0]",0.897,0.302,369
bounce,2,station|etype,edge|TRAV,q_rng100_15m,"(0.147, 1.062]",0.894,0.302,654
bounce,2,station|etype,edge|TRAV,q_zt100_1h,"(28.0, 100.0]",0.893,0.302,328
bounce,2,station|etype,edge|TRAV,q_rng100_1h,"(0.53, 2.052]",0.879,0.302,828
bounce,2,station|etype,in_25|TRAV,q_rng100_5m,"(0.094, 0.598]",0.878,0.302,592
bounce,2,station|etype,faredge|TRAV,q_rng100_5m,"(0.094, 0.598]",0.874,0.302,581
bounce,2,station|etype,in_25|TRAV,q_rng100_15m,"(0.147, 1.062]",0.874,0.302,660
bounce,2,station|etype,edge|TRAV,q_zt100_5m,"(37.0, 100.0]",0.872,0.302,437
bounce,2,station|etype,edge|TRAV,q_zt100_4h,"(20.0, 96.0]",0.867,0.302,483
bounce,2,station|etype,edge|TRAV,q_rng100_5m,"(0.598, 0.863]",0.866,0.302,864
bounce,2,station|etype,mid|TRAV,q_rng100_5m,"(0.094, 0.598]",0.862,0.302,594
bounce,2,station|etype,edge|TRAV,q_rng100_4h,"(2.1990000000000003, 4.196]",0.861,0.302,890
bounce,2,station|etype,faredge|TRAV,q_rng100_15m,"(0.147, 1.062]",0.859,0.302,658
bounce,2,station|etype,in_25|TRAV,q_rng100_1h,"(0.53, 2.052]",0.859,0.302,828
bounce,2,station|etype,mid|TRAV,q_rng100_15m,"(0.147, 1.062]",0.858,0.302,661
bounce,2,station|etype,in_25|TRAV,q_rng100_5m,"(0.598, 0.863]",0.854,0.302,876
bounce,2,station|etype,in_75|TRAV,q_rng100_5m,"(0.094, 0.598]",0.853,0.302,597
bounce,2,station|etype,faredge|TRAV,q_rng100_1h,"(0.53, 2.052]",0.853,0.302,835
bounce,2,station|etype,edge|TRAV,q_rng100_15m,"(1.062, 1.479]",0.851,0.302,877
bounce,2,station|etype,edge|TRAV,q_volr_4h,"(0.162, 0.901]",0.851,0.302,872
bounce,2,station|etype,mid|TRAV,q_rng100_1h,"(0.53, 2.052]",0.846,0.302,829
bounce,2,station|etype,in_25|TRAV,q_zt100_15m,"(38.0, 100.0]",0.844,0.302,372
bounce,2,station|etype,in_25|TRAV,q_rng100_4h,"(2.1990000000000003, 4.196]",0.843,0.302,890
bounce,2,station|etype,edge|TRAV,q_net20_4h,"(-0.889, 0.251]",0.842,0.302,819
bounce,2,station|etype,in_75|TRAV,q_rng100_15m,"(0.147, 1.062]",0.841,0.302,662
bounce,2,station|etype,mid|TRAV,q_rng100_5m,"(0.598, 0.863]",0.838,0.302,879
bounce,2,station|etype,in_75|TRAV,q_rng100_1h,"(0.53, 2.052]",0.838,0.302,833
bounce,2,station|etype,edge|TRAV,q_rng100_1h,"(2.052, 2.836]",0.838,0.302,868
bounce,2,station|etype,in_25|TRAV,q_volr_4h,"(0.162, 0.901]",0.837,0.302,870
bounce,2,station|etype,in_25|TRAV,q_rng100_15m,"(1.062, 1.479]",0.834,0.302,872
bounce,2,station|etype,mid|TRAV,q_rng100_4h,"(2.1990000000000003, 4.196]",0.83,0.302,892
bounce,2,station|etype,mid|TRAV,q_volr_4h,"(0.162, 0.901]",0.83,0.302,871
bounce,2,station|etype,in_25|TRAV,q_zt100_5m,"(37.0, 100.0]",0.83,0.302,452
bounce,2,station|etype,edge|TRAV,q_net100_1h,"(-0.978, 0.339]",0.829,0.302,795
bounce,2,station|etype,in_25|TRAV,q_net20_4h,"(-0.889, 0.251]",0.829,0.302,817
bounce,2,station|etype,in_25|TRAV,q_zt100_1h,"(28.0, 100.0]",0.828,0.302,331
bounce,2,station|etype,in_75|TRAV,q_rng100_5m,"(0.598, 0.863]",0.827,0.302,869
bounce,2,station|etype,mid|TRAV,q_rng100_15m,"(1.062, 1.479]",0.827,0.302,875
bounce,2,station|etype,faredge|TRAV,q_volr_4h,"(0.162, 0.901]",0.826,0.302,868
bounce,2,station|etype,in_25|TRAV,q_rng100_1h,"(2.052, 2.836]",0.825,0.302,868
bounce,2,station|etype,faredge|TRAV,q_rng100_15m,"(1.062, 1.479]",0.824,0.302,884
bounce,2,station|etype,faredge|TRAV,q_rng100_5m,"(0.598, 0.863]",0.823,0.302,860
bounce,2,station|etype,faredge|TRAV,q_rng100_4h,"(2.1990000000000003, 4.196]",0.823,0.302,892
bounce,2,station|etype,mid|TRAV,q_net20_4h,"(-0.889, 0.251]",0.819,0.302,819
bounce,2,station|etype,faredge|TRAV,q_net20_4h,"(-0.889, 0.251]",0.819,0.302,822
bounce,2,station|etype,mid|TRAV,q_rng100_1h,"(2.052, 2.836]",0.819,0.302,868
bounce,2,station|etype,edge|TRAV,q_net100_15m,"(-0.66, 0.032]",0.817,0.302,716
bounce,2,station|etype,in_75|TRAV,q_volr_4h,"(0.162, 0.901]",0.817,0.302,870
bounce,2,station|etype,in_25|TRAV,q_zt100_4h,"(20.0, 96.0]",0.817,0.302,486
bounce,2,station|etype,edge|TRAV,q_net100_1h,"(0.339, 1.829]",0.816,0.302,928
bounce,2,station|etype,in_75|TRAV,q_rng100_15m,"(1.062, 1.479]",0.816,0.302,881
bounce,2,station|etype,in_75|TRAV,q_rng100_4h,"(2.1990000000000003, 4.196]",0.816,0.302,892
bounce,2,station|etype,edge|TRAV,q_net20_1h,"(0.015, 0.582]",0.815,0.302,845
bounce,2,station|etype,edge|TRAV,q_net100_5m,"(-0.013, 0.406]",0.814,0.302,885
bounce,2,station|etype,edge|TRAV,q_net20_5m,"(-0.011, 0.214]",0.814,0.302,901
bounce,2,station|etype,edge|TRAV,q_net20_15m,"(-0.013, 0.302]",0.813,0.302,891
bounce,2,station|etype,in_75|TRAV,q_net20_4h,"(-0.889, 0.251]",0.812,0.302,816
bounce,2,station|etype,in_25|TRAV,q_net100_1h,"(-0.978, 0.339]",0.811,0.302,795
bounce,2,station|etype,mid|TRAV,q_net100_1h,"(-0.978, 0.339]",0.808,0.302,801
bounce,2,station|etype,in_25|TRAV,q_net20_15m,"(-0.013, 0.302]",0.808,0.302,905
bounce,2,station|etype,edge|TRAV,q_net20_1d,"(-1.759, 0.813]",0.807,0.302,924
bounce,2,station|etype,faredge|TRAV,q_net100_1h,"(-0.978, 0.339]",0.806,0.302,810
bounce,2,station|etype,edge|TRAV,q_net100_4h,"(-1.614, 0.854]",0.806,0.302,896
bounce,2,station|etype,in_75|TRAV,q_rng100_1h,"(2.052, 2.836]",0.806,0.302,864
bounce,2,station|etype,in_25|TRAV,q_net100_5m,"(-0.013, 0.406]",0.805,0.302,914
bounce,2,station|etype,edge|TRAV,q_volr_1h,"(0.858, 1.1]",0.804,0.302,899
bounce,2,station|etype,edge|TRAV,q_net20_15m,"(-0.33, -0.013]",0.803,0.302,860
bounce,2,station|etype,edge|TRAV,q_rng100_4h,"(4.196, 5.232]",0.803,0.302,930
bounce,2,station|etype,edge|TRAV,q_net20_1h,"(-0.549, 0.015]",0.801,0.302,815
bounce,2,station|etype,in_25|TRAV,q_net20_1h,"(0.015, 0.582]",0.8,0.302,851
bounce,2,station|etype,edge|TRAV,q_net100_5m,"(-0.434, -0.013]",0.799,0.302,824
bounce,2,station|etype,faredge|TRAV,q_rng100_1h,"(2.052, 2.836]",0.799,0.302,864
bounce,2,station|etype,edge|TRAV,q_volr_4h,"(0.901, 1.133]",0.799,0.302,1021
bounce,2,station|etype,in_25|TRAV,q_net100_1h,"(0.339, 1.829]",0.798,0.302,931
bounce,2,station|etype,in_25|TRAV,q_net20_5m,"(-0.011, 0.214]",0.798,0.302,905
bounce,2,station|etype,edge|TRAV,q_zt100_4h,"(9.0, 20.0]",0.798,0.302,890
bounce,2,station|etype,in_25|TRAV,q_net100_15m,"(-0.66, 0.032]",0.797,0.302,730
bounce,2,station|etype,in_75|TRAV,q_net100_1h,"(-0.978, 0.339]",0.797,0.302,806
bounce,2,station|etype,in_25|TRAV,q_net20_1d,"(-1.759, 0.813]",0.797,0.302,922
bounce,2,station|etype,edge|TRAV,q_rng100_15m,"(1.479, 2.158]",0.797,0.302,1059
bounce,2,station|etype,edge|TRAV,q_net20_5m,"(-0.245, -0.011]",0.796,0.302,972
bounce,2,station|etype,in_25|TRAV,q_net100_4h,"(-1.614, 0.854]",0.794,0.302,896
bounce,2,station|etype,edge|TRAV,q_net20_4h,"(0.251, 1.521]",0.794,0.302,934
bounce,2,station|etype,edge|TRAV,q_pos100_5m,"(0.868, 1.0]",0.793,0.302,835
bounce,2,station|etype,edge|TRAV,q_net100_15m,"(0.032, 0.711]",0.792,0.302,822
bounce,2,station|etype,in_25|TRAV,q_volr_1h,"(0.858, 1.1]",0.792,0.302,906
bounce,2,station|etype,mid|TRAV,q_zt100_4h,"(20.0, 96.0]",0.792,0.302,486
bounce,2,station|etype,in_25|TRAV,q_rng100_4h,"(4.196, 5.232]",0.791,0.302,930
bounce,2,station|etype,edge|TRAV,q_zt100_1d,"(18.0, 73.0]",0.791,0.302,755
bounce,2,station|etype,mid|TRAV,q_net20_15m,"(-0.013, 0.302]",0.789,0.302,914
bounce,2,station|etype,in_25|TRAV,q_rng100_15m,"(1.479, 2.158]",0.788,0.302,1057
bounce,2,station|etype,edge|TRAV,q_zt100_1d,"(10.0, 18.0]",0.788,0.302,968
bounce,2,station|etype,in_25|TRAV,q_zt100_4h,"(9.0, 20.0]",0.787,0.302,888
bounce,2,station|etype,mid|TRAV,q_net20_5m,"(-0.011, 0.214]",0.786,0.302,908
bounce,2,station|etype,in_25|TRAV,q_net20_5m,"(-0.245, -0.011]",0.784,0.302,972
bounce,2,station|etype,in_25|TRAV,q_volr_4h,"(0.901, 1.133]",0.783,0.302,1024
bounce,2,station|etype,mid|TRAV,q_net100_4h,"(-1.614, 0.854]",0.782,0.302,894
bounce,2,station|etype,in_25|TRAV,q_pos100_5m,"(0.868, 1.0]",0.782,0.302,818
bounce,2,station|etype,mid|TRAV,q_volr_1h,"(0.858, 1.1]",0.782,0.302,904
bounce,2,station|etype,mid|TRAV,q_zt100_15m,"(38.0, 100.0]",0.782,0.302,380
bounce,2,station|etype,edge|TRAV,q_net20_1d,"(-15.889999999999999, -1.759]",0.781,0.302,1026
bounce,2,station|etype,faredge|TRAV,q_zt100_5m,"(37.0, 100.0]",0.781,0.302,508
bounce,2,station|etype,edge|BREAK,q_zt100_15m,"(38.0, 100.0]",0.781,0.302,1886
bounce,2,station|etype,mid|TRAV,q_rng100_4h,"(4.196, 5.232]",0.78,0.302,927
bounce,2,station|etype,mid|TRAV,q_zt100_1h,"(28.0, 100.0]",0.78,0.302,337
bounce,2,station|etype,in_25|TRAV,q_net20_1h,"(-0.549, 0.015]",0.779,0.302,816
bounce,2,station|etype,mid|TRAV,q_net20_1h,"(0.015, 0.582]",0.779,0.302,854
bounce,2,station|etype,mid|TRAV,q_net20_1d,"(-1.759, 0.813]",0.779,0.302,922
bounce,2,station|etype,edge|TRAV,q_rng100_5m,"(0.863, 1.283]",0.779,0.302,1092
bounce,2,station|etype,mid|TRAV,q_net100_5m,"(-0.013, 0.406]",0.778,0.302,893
bounce,2,station|etype,edge|TRAV,q_net100_4h,"(-14.446, -1.614]",0.778,0.302,1051
bounce,2,station|etype,in_75|TRAV,q_volr_1h,"(0.858, 1.1]",0.778,0.302,906
bounce,2,station|etype,in_25|TRAV,q_net100_5m,"(-0.434, -0.013]",0.777,0.302,820
bounce,2,station|etype,mid|TRAV,q_net100_1h,"(0.339, 1.829]",0.777,0.302,929
bounce,2,station|etype,in_25|TRAV,q_net20_4h,"(0.251, 1.521]",0.777,0.302,936
bounce,2,station|etype,in_25|TRAV,q_net20_15m,"(-0.33, -0.013]",0.776,0.302,844
bounce,2,station|etype,faredge|TRAV,q_net20_15m,"(-0.013, 0.302]",0.776,0.302,901
bounce,2,station|etype,faredge|TRAV,q_zt100_4h,"(20.0, 96.0]",0.776,0.302,491
bounce,2,station|etype,in_25|TRAV,q_zt100_1d,"(10.0, 18.0]",0.776,0.302,968
bounce,2,station|etype,in_75|TRAV,q_net20_15m,"(-0.013, 0.302]",0.775,0.302,903
bounce,2,station|etype,faredge|TRAV,q_volr_1h,"(0.858, 1.1]",0.775,0.302,916
bounce,2,station|etype,mid|TRAV,q_zt100_5m,"(37.0, 100.0]",0.775,0.302,472
bounce,2,station|etype,mid|TRAV,q_net100_15m,"(-0.66, 0.032]",0.774,0.302,734
bounce,2,station|etype,faredge|TRAV,q_net20_5m,"(-0.011, 0.214]",0.774,0.302,863
bounce,2,station|etype,edge|TRAV,q_rng100_1h,"(2.836, 4.139]",0.774,0.302,1114
bounce,2,station|etype,mid|TRAV,q_volr_4h,"(0.901, 1.133]",0.774,0.302,1019
bounce,2,station|etype,faredge|TRAV,q_net100_5m,"(-0.013, 0.406]",0.773,0.302,869
bounce,2,station|etype,in_25|TRAV,q_net100_15m,"(0.032, 0.711]",0.773,0.302,821
bounce,2,station|etype,faredge|TRAV,q_net20_5m,"(-0.245, -0.011]",0.773,0.302,940
bounce,2,station|etype,faredge|TRAV,q_net20_1d,"(-1.759, 0.813]",0.773,0.302,926
bounce,2,station|etype,mid|TRAV,q_rng100_15m,"(1.479, 2.158]",0.773,0.302,1055
bounce,2,station|etype,mid|TRAV,q_pos100_5m,"(0.868, 1.0]",0.773,0.302,825
bounce,2,station|etype,mid|TRAV,q_net100_5m,"(-0.434, -0.013]",0.772,0.302,832
