depth,combo,cells,extinct
5,coin|etype|zone|virgin|cb,3243,False
5,coin|etype|zone|virgin|wq,3945,False
5,coin|etype|zone|virgin|session,4460,False
5,coin|etype|zone|virgin|wknd,3410,False
5,coin|etype|zone|virgin|hayden,3745,False
5,coin|etype|zone|virgin|hayden_btc,3800,False
5,coin|etype|zone|virgin|btc_pi,2783,False
5,coin|etype|zone|virgin|origin,3882,False
5,coin|etype|zone|virgin|tn,3961,False
5,coin|etype|zone|virgin|dq,3577,False
5,coin|etype|zone|virgin|sq,3934,False
5,coin|etype|zone|virgin|vq,4139,False
5,coin|etype|zone|virgin|rq,4544,False
5,coin|etype|zone|virgin|kq,4654,False
5,coin|etype|zone|virgin|uq,4605,False
5,coin|etype|zone|virgin|yd_arch,4061,False
5,coin|etype|zone|virgin|ob55,3850,False
5,coin|etype|zone|virgin|dtype,3614,False
5,coin|etype|zone|virgin|lean,3783,False
5,coin|etype|zone|virgin|scen_state,3295,False
5,coin|etype|zone|virgin|scen_failed,3705,False
5,coin|etype|zone|cb|wq,4486,False
5,coin|etype|zone|cb|session,4068,False
5,coin|etype|zone|cb|wknd,3914,False
5,coin|etype|zone|cb|hayden,3976,False
5,coin|etype|zone|cb|hayden_btc,4014,False
5,coin|etype|zone|cb|btc_pi,3406,False
5,coin|etype|zone|cb|origin,3813,False
5,coin|etype|zone|cb|tn,4121,False
5,coin|etype|zone|cb|dq,3577,False
5,coin|etype|zone|cb|sq,3863,False
5,coin|etype|zone|cb|vq,4108,False
5,coin|etype|zone|cb|rq,4560,False
5,coin|etype|zone|cb|kq,4604,False
5,coin|etype|zone|cb|uq,4583,False
5,coin|etype|zone|cb|yd_arch,4347,False
5,coin|etype|zone|cb|ob55,4018,False
5,coin|etype|zone|cb|dtype,4058,False
5,coin|etype|zone|cb|lean,4039,False
5,coin|etype|zone|cb|scen_state,3556,False
5,coin|etype|zone|cb|scen_failed,3968,False
5,coin|etype|zone|wq|session,3059,False
5,coin|etype|zone|wq|wknd,4047,False
5,coin|etype|zone|wq|hayden,4483,False
5,coin|etype|zone|wq|hayden_btc,4295,False
5,coin|etype|zone|wq|btc_pi,3882,False
5,coin|etype|zone|wq|origin,3574,False
5,coin|etype|zone|wq|tn,4206,False
5,coin|etype|zone|wq|dq,3518,False
5,coin|etype|zone|wq|sq,3395,False
5,coin|etype|zone|wq|vq,3451,False
5,coin|etype|zone|wq|rq,4001,False
5,coin|etype|zone|wq|kq,3942,False
5,coin|etype|zone|wq|uq,3895,False
5,coin|etype|zone|wq|yd_arch,4287,False
5,coin|etype|zone|wq|ob55,3857,False
5,coin|etype|zone|wq|dtype,4354,False
5,coin|etype|zone|wq|lean,3954,False
5,coin|etype|zone|wq|scen_state,3596,False
5,coin|etype|zone|wq|scen_failed,4051,False
5,coin|etype|zone|session|wknd,3618,False
5,coin|etype|zone|session|hayden,3741,False
5,coin|etype|zone|session|hayden_btc,3468,False
5,coin|etype|zone|session|btc_pi,4280,False
5,coin|etype|zone|session|origin,2465,False
